"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Glrx2",3.18819132338244e-08,-0.109245415431722,0.297,0.175,0.000796218901101531
"Dazap1",3.28095126730494e-08,0.207832995774581,0.272,0.115,0.000819384769496737
"Eif3b",3.34261253907051e-08,0.0769406796279938,0.272,0.126,0.000834784055507468
"Smim10l1",3.40451442148466e-08,-0.192004074246485,0.285,0.176,0.00085024343162158
"Mthfsl",3.40704826506436e-08,0.268174834749005,0.278,0.111,0.000850876233717174
"Rnpep",3.40932081782093e-08,0.0316257263907764,0.38,0.227,0.000851443781042599
"Usp8",3.43925182280207e-08,0.244399891101037,0.399,0.215,0.000858918750226589
"Pik3r1",3.46557340533983e-08,0.182918640578506,0.259,0.109,0.000865492302249569
"Gng5",3.50287870825411e-08,0.174489397500894,0.576,0.368,0.000874808928599381
"Fam98b",3.55768353488058e-08,0.102957370482158,0.253,0.107,0.000888495886001075
"Fam133b",3.57556924359435e-08,0.0749950356673443,0.285,0.14,0.000892962662895252
"Fkbp1a",3.58453165732457e-08,0.0283360674854589,0.494,0.316,0.000895200936100239
"Txnip",3.61264578228266e-08,-0.73692830354292,0.323,0.337,0.00090222215766727
"Cacybp",3.64451195612183e-08,0.252702758481436,0.405,0.206,0.000910180415921866
"Ttc1",3.77563480505959e-08,0.131624555980875,0.272,0.12,0.000942927036215583
"B2m",3.77959058143671e-08,0.383824629531275,0.994,0.975,0.000943914951808005
"Tomm70a",3.83321780545344e-08,0.207190855236542,0.304,0.141,0.000957307814733942
"Erp44",4.04615827625278e-08,-0.246804169658403,0.259,0.166,0.00101048756791137
"Rufy1",4.04880312133885e-08,0.0718046762889266,0.253,0.111,0.00101114809152317
"Pxn",4.06383353007971e-08,-0.122325938168832,0.272,0.163,0.00101490178580211
"Nipa2",4.10043186418772e-08,0.224668091127525,0.285,0.122,0.00102404185376224
"2010107E04Rik",4.14540214275991e-08,0.351780872796664,0.734,0.494,0.00103527273113286
"Chd8",4.16587117200073e-08,0.472520172750603,0.266,0.096,0.00104038466649546
"Irf2bp2",4.16674802326052e-08,-0.513019250875301,0.367,0.359,0.00104060365132908
"Igfbp4",4.17251626594108e-08,0.160727973494491,0.538,0.35,0.00104204421225613
"Tagln2",4.18273901495536e-08,0.183243817819394,0.696,0.507,0.00104459724159495
"Emp3",4.19754516389427e-08,-0.175574173008805,0.778,0.647,0.00104829492923095
"Dnajc1",4.2235816081365e-08,0.12934269851312,0.316,0.162,0.00105479727081601
"Tpp2",4.22515365866829e-08,-0.179409436286694,0.316,0.202,0.00105518987471582
"Sugt1",4.24760854737215e-08,0.203745808282126,0.342,0.165,0.00106079775862072
"Xiap",4.26880628052925e-08,-0.0513445265798322,0.272,0.154,0.00106609168049937
"Trappc2l",4.30033080862677e-08,-0.139544952679015,0.38,0.284,0.00107396461614645
"Snrpf",4.38205092411455e-08,0.062874015862034,0.354,0.193,0.00109437339778837
"Gm4604",4.40074062556866e-08,-0.220548829964455,0.31,0.209,0.00109904096382952
"Aimp1",4.41798219851018e-08,-0.0102336543445852,0.297,0.168,0.00110334687425593
"Exoc5",4.41913424167208e-08,0.142684652850067,0.259,0.114,0.00110363458551518
"Pnpla8",4.49443694722e-08,0.149269919507145,0.31,0.145,0.00112244068319872
"Clec12a",4.49952119903003e-08,0.0836410328251844,0.38,0.211,0.00112371042424576
"Rb1cc1",4.52061544797953e-08,-0.0413316883882581,0.304,0.176,0.00112897850197841
"Itga4",4.52271403161486e-08,0.473672334237721,0.285,0.109,0.0011295026022555
"Bptf",4.54856500802555e-08,0.260132538283271,0.329,0.159,0.0011359586251043
"Uba5",4.5487087551987e-08,-0.16689236014916,0.272,0.159,0.00113599452452332
"Itsn2",4.56555964390984e-08,0.0494666673277264,0.399,0.238,0.00114020286547004
"Crlf3",4.68474420060104e-08,0.109819410905739,0.342,0.183,0.0011699680166581
"Rcn2",4.69118076979035e-08,0.189738996827652,0.259,0.107,0.00117157548544744
"Ndufa6",4.69305557856993e-08,0.0197691971503873,0.665,0.492,0.00117204370019205
"Slc43a2",4.78895514908669e-08,-0.250083321461154,0.285,0.201,0.00119599365893291
"Capn2",4.81081887072919e-08,-0.102924753253896,0.285,0.168,0.00120145390477591
"Rtcb",4.84449012769375e-08,-0.103601851241187,0.285,0.169,0.00120986296449024
"Afg3l1",4.87720723263649e-08,0.0230340677716515,0.253,0.119,0.00121803373427864
"Eif4g2",4.88144859874851e-08,-0.00735901345596157,0.589,0.416,0.00121909297305145
"Nipsnap3b",4.97394385207862e-08,0.234154547860619,0.253,0.098,0.00124219273761811
"Wdr1",4.99261081137288e-08,0.0506898174456711,0.487,0.321,0.00124685462403226
"Psma3",5.03751017689559e-08,-0.0182878131071206,0.316,0.188,0.0012580677915779
"Rabl6",5.07855172848367e-08,0.0501509889582427,0.316,0.172,0.00126831750867151
"Pdia6",5.0802421587196e-08,0.336578273596806,0.627,0.393,0.00126873967671863
"Ddx26b",5.0855165732332e-08,-0.266255359656302,0.253,0.179,0.00127005690899926
"Pcmt1",5.11391360712226e-08,-0.0214877532469776,0.323,0.186,0.00127714878424271
"Ptbp3",5.13257836223379e-08,0.140070705152321,0.69,0.483,0.00128181012018427
"Rabep1",5.17227603961651e-08,0.0175180852582382,0.335,0.184,0.00129172421813383
"Ppp1cb",5.18950116834137e-08,-0.123758282124562,0.285,0.172,0.00129602602178157
"Dnajc13",5.2316018334205e-08,0.269519979495036,0.316,0.144,0.00130654024187844
"2610001J05Rik",5.23918437444988e-08,-0.138224868383544,0.361,0.238,0.00130843390567511
"Swi5",5.24275611322872e-08,0.0809915007550486,0.424,0.252,0.00130932591171774
"Vrk1",5.2676921283911e-08,0.288005117990211,0.278,0.119,0.00131555343214439
"Rars",5.27555781072463e-08,0.226351128521565,0.291,0.129,0.00131751780765037
"Set",5.3271241213121e-08,-0.128821330084187,0.392,0.266,0.00133039597805648
"Arf5",5.33657916514374e-08,-0.125205794426771,0.576,0.434,0.001332757280703
"Pkn2",5.37546345442827e-08,0.303192968274173,0.285,0.119,0.00134246824310892
"Ctsa",5.3934107493738e-08,-0.0763222644189581,0.823,0.676,0.00134695040054861
"Atg3",5.52389996318648e-08,-0.184482687899167,0.342,0.23,0.00137953877680619
"Tuba1c",5.56346431844604e-08,0.0248309435377696,0.38,0.24,0.00138941957888871
"Tsc22d4",5.58473061884829e-08,0.160462641274648,0.462,0.278,0.00139473062475117
"Mphosph8",5.59484102511853e-08,0.0775664684436211,0.272,0.133,0.0013972555976131
"Mpc2",5.63592974713719e-08,0.258243617729364,0.456,0.252,0.00140751709505004
"Eif4a3",5.67910456911593e-08,0.0277800783671107,0.354,0.213,0.00141829957509101
"Sys1",5.6830944502108e-08,0.145266741255505,0.348,0.187,0.00141929600799565
"Abhd12",5.71279398933866e-08,-0.348856760272564,0.462,0.398,0.00142671317089744
"Glyr1",5.83147387983326e-08,0.253596282433126,0.316,0.148,0.00145635228674956
"Stat6",5.84708267454219e-08,-0.147032702825721,0.253,0.151,0.00146025042714017
"Klf13",5.8543245571133e-08,0.0879560160556652,0.361,0.204,0.00146205901489348
"Maf1",5.85747218864801e-08,0.204877709904942,0.316,0.148,0.00146284510439295
"Ndufc2",5.87129483325805e-08,0.0945539183047568,0.601,0.414,0.00146629717165787
"Anapc16",5.97106515103417e-08,0.0253889698327548,0.285,0.155,0.00149121381081927
"Aig1",6.04291004403385e-08,0.0483834576068599,0.304,0.159,0.00150915635439701
"Dhx15",6.04373713120274e-08,0.178718110472852,0.291,0.143,0.00150936291114657
