"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"Otud4",0.000338667623864828,0.298324771084947,0.28,0.089,1
"Ddx58",0.000338749989762075,0.0649792794652867,0.26,0.094,1
"Rae1",0.000338964277931203,0.581151554542995,0.28,0.078,1
"Upf3b",0.000339429685754507,-0.0161071511601194,0.28,0.124,1
"Mapkap1",0.000340595065302111,-0.043034163903652,0.28,0.116,1
"Emc4",0.00034076025439689,0.113763279814182,0.3,0.114,1
"BC005561",0.000341524284266945,0.561023031576246,0.3,0.104,1
"Capn2",0.000342433752377084,0.488293006634471,0.4,0.162,1
"Stap2",0.000342605768523671,0.205560639739332,0.34,0.139,1
"Erp44",0.000342628792175832,-0.268798438805911,0.28,0.152,1
"Hnrnpa2b1",0.000342808527722078,0.592344704216844,0.92,0.772,1
"Arf4",0.000343638630365982,0.457023298609031,0.68,0.397,1
"Ccnd2",0.000345201274162263,0.265154678566486,0.5,0.253,1
"Anxa3",0.000347171394162563,-0.186704641158942,0.42,0.266,1
"Vps36",0.000347561476718807,-0.479519647749567,0.38,0.273,1
"Ralgapa1",0.000347624841452928,-0.138030228306915,0.26,0.111,1
"Ilk",0.000348022955559101,-0.263438963549033,0.48,0.375,1
"Sharpin",0.000348064918784571,0.410716629463331,0.28,0.091,1
"Fcho2",0.000349034732577592,0.195175363051302,0.48,0.258,1
"Ubn2",0.000349238660027986,-0.149442046891777,0.28,0.134,1
"Ppap2b",0.000350570783687208,-0.368811962253615,0.52,0.433,1
"Wbp1l",0.000352792323311488,0.32120675720255,0.26,0.076,1
"Mmrn2",0.000353140285333682,-0.287776917289796,0.38,0.246,1
"Ostf1",0.000355426034011909,-0.0542318272772944,0.64,0.478,1
"Aprt",0.000355509989593283,0.208065155616251,0.4,0.182,1
"Rpl41",0.000355951817641772,-0.588272472839158,0.84,0.889,1
"Gm11478",0.000356559750126943,-0.248402409719783,0.42,0.301,1
"Ghitm",0.000356907565533598,0.410787004851097,0.52,0.263,1
"Gemin7",0.000357210533483989,0.0486001609425171,0.28,0.104,1
"Sypl",0.000357597821717636,-0.0999146099104897,0.48,0.286,1
"Ubqln1",0.000357769661326585,0.142167476666239,0.38,0.17,1
"Tpt1-ps3",0.000357781263904079,-0.767872398420055,0.2,0.268,1
"Sbno1",0.000357812702907761,-0.176844263284865,0.34,0.197,1
"mt-Nd6",0.000358773085568531,0.683310493960515,0.5,0.256,1
"Apc",0.00035959730961614,-0.279980364616091,0.34,0.208,1
"Bub3",0.000359961746710723,0.364373406093978,0.38,0.159,1
"Thrap3",0.000360012704605638,0.126814068010055,0.5,0.278,1
"Cox7a2l",0.000360885097925854,-0.0935027462428628,0.56,0.372,1
"Ndufa3",0.000360981824159417,0.161278519181279,0.58,0.367,1
"Rps27l",0.000361912247208244,0.121087291065051,0.64,0.408,1
"Grn",0.00036221614510255,-0.0175534374389663,0.4,0.253,1
"Tmem160",0.000363156195029349,0.145656855953269,0.36,0.18,1
"Gimap4",0.000364089800017831,0.531283455042575,0.7,0.41,1
"Tram1",0.000364425865887096,-0.0216328337651974,0.44,0.243,1
"Eva1b",0.000366302998958889,-0.255784261415047,0.54,0.405,1
"Ndufb6",0.000366773634217489,0.621497500514263,0.58,0.299,1
"Lum",0.000368966604134299,-1.62743141808197,0.14,0.263,1
"Esf1",0.000370153126435017,0.678527948050563,0.36,0.129,1
"Tbpl1",0.000370262089388338,-0.00459435841925682,0.28,0.114,1
"Nop56",0.000370703625115167,-0.0344570426077443,0.3,0.132,1
"Brd3",0.000370746312378207,-0.305134303643984,0.36,0.235,1
"Atg5",0.000371412037052308,0.203457194824337,0.28,0.099,1
"Golga4",0.000372672268108142,0.0550978189792888,0.44,0.241,1
"Fubp3",0.000372765495345559,0.211527510051985,0.26,0.081,1
"Hexim1",0.000375196065642382,0.110139604513129,0.32,0.127,1
"Apoe",0.000375353795450324,-1.35421406207711,0.3,0.284,1
"Arl2bp",0.000376605886269527,0.0133024834445081,0.26,0.096,1
"Dnm2",0.000377405046635017,-0.378774120949637,0.26,0.165,1
"Ifngr2",0.000377886936320071,0.0615402924261517,0.32,0.142,1
"Rbbp6",0.000378151915232956,0.193762691808007,0.48,0.253,1
"Arf5",0.000378614193644387,0.0602857477659762,0.68,0.466,1
"Etl4",0.000378749373722544,0.142457146150789,0.34,0.152,1
"Dnajc8",0.000379228453692783,0.347463938347165,0.64,0.362,1
"Cdc42ep1",0.000379452410928729,0.404958472755974,0.34,0.129,1
"Mrpl2",0.000380298480704982,0.327805228328507,0.28,0.086,1
"Prkacb",0.0003806417222895,0.445111709951023,0.4,0.165,1
"Dll4",0.000381627517280669,0.135165574110994,0.26,0.096,1
"Cwf19l2",0.00038186655835273,-0.0430061730120805,0.26,0.104,1
"Smc6",0.000382092645466121,0.00866086246598319,0.46,0.268,1
"Nab1",0.000383813501260273,-0.13600502471275,0.3,0.154,1
"Gm1821",0.000385151882419861,-0.767078037227413,0.44,0.504,1
"Tmem204",0.000385494204896404,0.0627812691044998,0.38,0.2,1
"Spop",0.000386491729920987,-0.289247907324399,0.46,0.334,1
"Mgat1",0.000386555266808958,-0.171956369139673,0.28,0.134,1
"Fam46c",0.000389037951867987,0.011416125491041,0.3,0.134,1
"Ddx39b",0.000389133140655297,0.146993345813763,0.42,0.215,1
"Pfdn2",0.000389630032116139,0.0205449418744761,0.3,0.139,1
"Itsn2",0.000392259078821158,0.111485989915378,0.46,0.261,1
"Rbm8a",0.000393269420976975,-0.0985365190640859,0.5,0.314,1
"Tshz2",0.000395428779336938,-0.140966307322599,0.36,0.197,1
"Ubtf",0.000397975088407951,-0.49446949186082,0.32,0.251,1
"Chd3",0.000399173559141696,-0.0277288357017587,0.34,0.162,1
"Set",0.000400050800993551,0.140418482885896,0.48,0.263,1
"Rheb",0.000400846269407787,0.0331765250845864,0.48,0.273,1
"Stt3b",0.0004012972267425,0.418571566652359,0.32,0.106,1
"Tbc1d20",0.000402651303242152,0.152189403394643,0.28,0.106,1
"Rab1a",0.000403046103179622,0.594835619268347,0.62,0.329,1
"Copg2",0.000403358383805479,0.267448476009497,0.26,0.076,1
"Lrpap1",0.000405019578584668,-0.144128378082985,0.32,0.175,1
"Cgnl1",0.000405800159577024,-0.0828770471723104,0.28,0.124,1
"Eif4h",0.000406866245623749,0.0397274894331578,0.44,0.256,1
"Susd6",0.000406910982118515,0.105865020292803,0.3,0.129,1
"Akap8l",0.000407738289667633,-0.176274464914964,0.28,0.142,1
"Plcg1",0.000409742611846801,-0.469670598031792,0.28,0.197,1
"Herc1",0.000410645372408196,0.340431301138954,0.36,0.144,1
"Srsf5",0.000411264540422931,0.222896170073323,0.64,0.395,1
"Arap3",0.000411922445823539,-0.104927062311341,0.32,0.185,1
"Ifitm2",0.00041272563987459,0.073168799358541,0.78,0.565,1
"Bax",0.000412923974903361,-0.0707208892286343,0.36,0.2,1
"Gyg",0.000413496814670778,0.295402097633665,0.26,0.078,1
"Mrps9",0.000413643710880705,0.129220178610873,0.26,0.089,1
"Klf9",0.000415310526065631,-0.574516558771682,0.32,0.268,1
"Hsbp1",0.000417337963996581,0.0641902430124954,0.6,0.385,1
"Eif3m",0.000418044010172863,-0.0738988596114002,0.38,0.203,1
"Smap1",0.000418094880474414,0.0968870416828136,0.4,0.21,1
"Cds2",0.000418965906913426,0.0293934289127027,0.32,0.144,1
"Psmd1",0.000420084666866473,0.198575269643441,0.38,0.177,1
"Hars",0.000422412725802784,0.294023606029626,0.34,0.139,1
"Kpna4",0.000422873100463656,-0.292534658303123,0.32,0.182,1
"Snx6",0.00042307438135048,0.145070874544542,0.52,0.289,1
"Zfand5",0.000424619572493409,0.0242149192810421,0.56,0.349,1
"Ddx3x",0.000425284523681639,0.155124760616204,0.6,0.357,1
"Wipf1",0.000425570492503752,0.113094146565686,0.3,0.114,1
"Nckap1",0.000425829517757714,-0.0766291882179566,0.3,0.154,1
"Gtf3c6",0.000426246852560264,-0.0513696347120425,0.26,0.109,1
"Mycbp2",0.000426991831213965,-0.0393690738184751,0.38,0.203,1
"Clk1",0.000428323858706936,-0.217825684362745,0.46,0.311,1
"Snrnp48",0.000428370877691709,-0.0563980764839753,0.26,0.106,1
"Ccdc80",0.000428659392353127,-0.729049298752634,0.3,0.253,1
"Prdx4",0.000431799899183626,0.519874296429383,0.48,0.228,1
"Prnp",0.000432191936072297,0.285169863271254,0.56,0.327,1
"Hmg20b",0.000435051063033947,0.055650171633032,0.58,0.359,1
"Galnt18",0.000437431142638183,-0.0296251500318986,0.26,0.104,1
"Anapc11",0.000439065893325825,0.0589297869297178,0.5,0.304,1
"4930402H24Rik",0.000439208360619185,-0.143990668124154,0.36,0.203,1
"Yy1",0.000439403614554913,0.594758477059341,0.38,0.152,1
"Zmynd11",0.000440859204992848,-0.00554936360935709,0.54,0.339,1
"Fam3c",0.000440861592970146,-0.249186534691769,0.28,0.144,1
"Hbp1",0.000441601688263352,-0.0253323940391391,0.36,0.187,1
"Dnaja2",0.000441713649296513,0.065261473115491,0.46,0.271,1
"Snapc5",0.000442609476851049,0.205525143935252,0.3,0.116,1
"Spcs3",0.000443897936956653,0.245176753870073,0.28,0.096,1
"Hbb-bt",0.000444255081406035,-0.280256246065623,0.76,0.932,1
"Cygb",0.000447302997345341,-0.346966481764906,0.4,0.291,1
"Sltm",0.000449092686400563,0.202888449929174,0.5,0.268,1
"Afap1",0.000450387574477174,0.0899432080791662,0.26,0.101,1
"Cnpy2",0.00045049114629028,0.162917685180165,0.44,0.246,1
"Cdk4",0.000450866983295518,0.386573304964743,0.5,0.248,1
"Mta2",0.000452808084670143,0.0818514486075608,0.28,0.101,1
"Tsc22d3",0.000452974098542331,-0.39137714185472,0.38,0.271,1
"Zfp638",0.000453749335345491,0.257995271358308,0.34,0.149,1
"Rab5c",0.000454382163304354,0.312766910501638,0.38,0.175,1
"Prrg3",0.000455609459949747,0.304512268885933,0.38,0.162,1
"Atp5j",0.000457634284015094,0.720412949220032,0.86,0.704,1
"Zcrb1",0.000460020715529857,0.766909212843284,0.44,0.192,1
"Ankhd1",0.000460676574563501,0.279711562325223,0.32,0.129,1
"8430408G22Rik",0.000461063155953542,-0.919199651882869,0.36,0.347,1
"Hook3",0.000461654474736252,0.109369224788316,0.5,0.294,1
"Cdh13",0.000462683767114878,0.151743384795971,0.42,0.223,1
"Cfap36",0.000466395942735839,0.0100145977922366,0.36,0.175,1
"Lpgat1",0.00046647423282841,0.476283390401493,0.28,0.094,1
"Celf1",0.000468802231546219,0.0462048335303585,0.36,0.175,1
"P4hb",0.000469568273421427,0.326488730788863,0.68,0.423,1
"Aplnr",0.000471762610037766,-0.310317742046333,0.4,0.286,1
"Sdf4",0.000472971735705943,-0.388784059632562,0.4,0.284,1
"Vcl",0.000473089075716486,-0.0431948941443809,0.32,0.154,1
"Ddi2",0.000473362237851078,-0.244904637596357,0.26,0.132,1
"Chchd3",0.000474987612015196,0.293567363033984,0.34,0.139,1
"Top1",0.00047513586046328,0.371846651137598,0.66,0.392,1
"Ddx50",0.000476083355260018,-0.169638045058792,0.3,0.152,1
"Sarnp",0.000476990182455621,-0.076175194894027,0.36,0.19,1
"Spats2l",0.000477295896988412,0.170906843675151,0.26,0.091,1
"Ccnl2",0.000479545503433022,0.0831143393085036,0.52,0.301,1
"Dynlt3",0.000481059753366959,-0.335723552658464,0.38,0.273,1
"Hnrnpul2",0.00048143462247768,0.205794073304094,0.38,0.187,1
"Dcaf8",0.00048702076485402,-0.00851655823732655,0.36,0.208,1
"Cct3",0.000487516379049528,0.284228630311705,0.36,0.149,1
