"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj"
"S1pr1",6.57639871780525e-44,-0.786309672523976,0.253,0.229,1.64238981578468e-39
"Fxn",6.82247519134616e-44,0.460564161170455,0.31,0.039,1.70384495428679e-39
"Uba1",6.8273463905015e-44,0.119352304295798,0.394,0.131,1.70506148756384e-39
"Pdap1",6.93329802012697e-44,-0.201632916653075,0.612,0.392,1.73152184754651e-39
"Snw1",7.29363411989243e-44,-0.518997731571772,0.416,0.283,1.82151218510193e-39
"Mdp1",7.54268167679312e-44,0.303878727912451,0.433,0.137,1.88370932196231e-39
"Trappc1",7.64428576231063e-44,0.147131060579245,0.457,0.182,1.90908392627946e-39
"Cmc1",7.68437453752142e-44,-0.0560868843858857,0.343,0.131,1.9190956970006e-39
"Setd8",7.77206972623862e-44,0.325873048146645,0.494,0.171,1.94099669343083e-39
"Thoc2",7.83931468600498e-44,-0.719569829728531,0.342,0.276,1.95779044968288e-39
"Slc38a4",8.17077085303196e-44,0.594843256433527,0.268,0.011,2.0405683128362e-39
"U2surp",8.33625027810072e-44,-0.332007689874315,0.483,0.304,2.08189514445287e-39
"Pbx1",8.45148196588466e-44,0.23974316457123,0.356,0.094,2.11067310616003e-39
"Safb",8.6290062571863e-44,-0.45152981232427,0.396,0.266,2.15500802266971e-39
"Cetn2",8.72456680927781e-44,-0.269405556176392,0.331,0.165,2.17887331494904e-39
"Guk1",9.00442027745706e-44,0.33691164226706,0.414,0.12,2.24876392009213e-39
"Gm8292",9.29495477378727e-44,-1.24447898507723,0.059,0.255,2.32132200520563e-39
"Kdelr2",9.31857691526174e-44,-0.875357634352455,0.295,0.308,2.32722139881747e-39
"Mat2b",9.48686420645968e-44,0.0864916930990171,0.416,0.15,2.36924946692124e-39
"Slirp",9.69512897765398e-44,0.332259739618584,0.549,0.218,2.42126151087931e-39
"Apoa1bp",9.76955620913059e-44,-0.0460902247164683,0.367,0.15,2.43984896766827e-39
"Fgfr1op2",1.00548189835973e-43,-0.404668160294364,0.387,0.244,2.5110904929636e-39
"1810022K09Rik",1.01161617560304e-43,-0.175450496385948,0.335,0.148,2.52641023695103e-39
"Pin1",1.0744080074047e-43,0.287354715990856,0.432,0.137,2.68322655769251e-39
"Cnpy2",1.11798420219297e-43,-0.167908653572231,0.433,0.216,2.79205374655673e-39
"Immp1l",1.11803826420299e-43,0.07785002782729,0.418,0.165,2.79218876102055e-39
"Arl1",1.190722793116e-43,-0.240651356059246,0.383,0.214,2.97371110352789e-39
"Strap",1.204418473348e-43,0.353223092803882,0.495,0.173,3.0079146953393e-39
"Ppp1r12a",1.21673163576275e-43,0.178491205279534,0.495,0.201,3.0386655871539e-39
"Psme4",1.23915913302819e-43,0.174317691050428,0.419,0.148,3.0946760188246e-39
"Cmc2",1.25342228625828e-43,0.246829983896559,0.464,0.169,3.13029681770144e-39
"Glrx3",1.32893917009429e-43,0.227853892174414,0.471,0.173,3.31889268339348e-39
"Ablim1",1.36026748961635e-43,-0.247100745857711,0.493,0.285,3.39713202856788e-39
"Hmgb3",1.36517967635755e-43,0.0823764712838473,0.416,0.163,3.40939972373536e-39
"Strn3",1.44377029649078e-43,-0.117117216478914,0.525,0.276,3.60567193845608e-39
"Lamtor2",1.50340484069479e-43,-0.160660638508818,0.403,0.203,3.75460324915117e-39
"Micu2",1.54875332661307e-43,0.238383847966133,0.46,0.158,3.86785655788347e-39
"Zfp207",1.62205152514536e-43,-0.537998296042766,0.374,0.263,4.05091147889803e-39
"Timm9",1.72267021800672e-43,0.50985198686947,0.34,0.054,4.30219660244997e-39
