,gene name,influence score
120,Lmbrd1,0.0005070255949697358
121,Gm28237,0.0
122,Gm29414,0.0
123,Adgrb3,0.0
124,4931408C20Rik,8.031801623575378e-05
125,Gm5524,0.0
126,Gm597,0.0
127,Gm9898,0.00045973335538606214
128,Phf3,0.0013818522168998328
129,Ptp4a1,0.0015065817613032775
130,Gm28644,0.001191727866064004
131,Gm29669,0.001191727866064004
132,Gm29128,0.0006072649662744972
133,Lgsn,0.00043116467940353267
134,4931428L18Rik,5.383767939661914e-05
135,Pih1d3,5.383767939661914e-05
136,Khdrbs2,0.00019294869446878605
137,Gm5415,0.0
138,Gm37724,0.0
139,Gm37591,0.0
140,Prim2,0.0009823053464529381
141,Rab23,0.0019303631614898476
142,Bag2,0.0019005167616170163
143,Zfp451,0.0011988838134623545
144,Bend6,0.001722449477704735
145,Dst,0.002136783407273959
146,Gm37958,0.0019651751627938405
147,Gm37233,0.005797126135496347
148,Ccdc115,0.005797126135496347
149,Imp4,0.005797126135496347
150,Gm28306,0.005797126135496347
151,Ptpn18,0.005797126135496347
152,4930568A12Rik,0.006029124376090938
153,Prss39,0.005951450597930322
154,Cfc1,0.0054817009159722025
155,Prss40,0.0015358161795052856
156,1700101I19Rik,0.0005046245926766657
157,Amer3,0.0005046245926766657
158,Arhgef4,0.0006162203349036818
159,Gm38336,0.0024925808602266914
160,Fam168b,0.0024925808602266914
161,Plekhb2,0.0024925808602266914
162,Gm37068,0.0
163,Gm28415,0.0008362000873150953
164,1110002O04Rik,0.0013285531991775595
165,Gm37146,0.0028346558584022726
166,Gm33222,0.0032661602691388385
167,4930535G08Rik,0.0032661602691388385
168,Hs6st1,0.0029372467190722103
169,Gm37335,0.0027555060969175465
170,Gm33280,0.002439591647502889
171,Uggt1,0.0032004478703826873
172,Neurl3,0.0035450698164080177
173,Arid5a,0.0035450698164080177
174,4930403P22Rik,0.0035450698164080177
175,Kansl3,0.002827861317909707
176,Fer1l5,0.0024298956903280903
177,Lman2l,0.0026140529846614183
178,Cnnm4,0.007373554051445444
179,Cnnm3,0.009199268288871224
180,Gm38033,0.00927475941368374
181,Ankrd23,0.009346855271219671
182,Gm42417,0.009646367868337034
183,Ankrd39,0.009646367868337034
184,Sema4c,0.009329068806055565
185,Fam178b,0.008663290514065718
186,Cox5b,0.0026201952449289583
187,Actr1b,0.002481701513207518
188,4933424G06Rik,0.001984870750136318
189,Gm33533,0.0016422759087051518
190,Zap70,0.0016422759087051518
191,Tmem131,0.0020598909502098778
192,Vwa3b,0.0005676806177751991
193,Gm37020,0.00036438989942397465
194,Cnga3,0.001037079456179338
195,Inpp4a,0.0013579120082032473
196,4930439A04Rik,0.0027192779362708165
197,Coa5,0.002462361271325158
198,Unc50,0.002462361271325158
199,Mgat4a,0.0026326495962568862
200,4930556I23Rik,0.0015538392762984062
201,2010300C02Rik,0.001579845442291181
202,Tsga10,0.003332127378968734
203,Gm26805,0.003332127378968734
204,Lipt1,0.003332127378968734
205,Mitd1,0.003332127378968734
206,Mrpl30,0.003332127378968734
207,Lyg2,0.004573355324646404
208,Gm15457,0.004573355324646404
209,Lyg1,0.004573355324646404
210,Txndc9,0.0012412279456776693
211,Eif5b,0.0012412279456776693
212,Rev1,0.0025077331983016844
213,Gm5099,0.0015155761182191058
214,Aff3,0.0015870233748373531
215,Gm16150,0.0005989754483749611
216,Gm16151,0.00037722638871963106
217,Gm16152,0.0013302233114372143
218,Lonrf2,0.0005583309424518857
219,Chst10,0.00044391967256970065
220,Gm37707,0.00044391967256970065
221,Nms,0.0008587796637320915
222,Pdcl3,0.0008587796637320915
223,Gm37821,0.0012594384403846238
224,Npas2,0.0021535272428537893
225,Rpl31,0.0022937579170752877
226,Tbc1d8,0.0022937579170752877
227,Cnot11,0.0023329044755609546
228,Rnf149,0.001913008193580024
229,D930019O06Rik,0.001949240502477265
230,Creg2,0.001949240502477265
231,Rfx8,0.0022153033623727855
232,Gm3646,0.0049549816722397255
233,1700066B17Rik,0.0056909638613235475
234,Map4k4,0.006189276332494027
235,Il1r2,0.0012029770263083455
236,Gm16894,0.0011074413970243644
237,Il1r1,0.0007337194504525879
238,Il1rl2,0.0006019025925268212
239,Il1rl1,0.00019407057291478955
240,Il18r1,0.00019407057291478955
241,Il18rap,4.38733241685283e-05
242,Slc9a4,0.00018170310898222184
243,Gm35801,0.00018170310898222184
244,Slc9a2,0.00032574982080430605
245,Gm37623,0.0005224841407878887
246,Gm37915,0.001116581715229036
247,Mfsd9,0.0012799412268645156
248,Tmem182,0.0012799412268645156
249,4930448I06Rik,1.8201295932270372e-05
250,Gm28634,0.0007028903021128539
251,Gm29260,0.0
252,Gm9915,0.00014456413912055153
253,Gm29664,0.00014456413912055153
254,Gm28175,0.00014456413912055153
255,Gm28140,0.0
256,Pantr1,0.000621974024794213
257,Pou3f3,0.000645286575736949
258,Dalir,0.000645286575736949
259,Mrps9,0.0004845824540627133
260,Gpr45,0.00011605430659645354
261,Gm28782,0.002262035791996661
262,Tgfbrap1,0.002262035791996661
263,8430432A02Rik,0.009890983635322561
264,AI597479,0.011469973121950968
265,Fhl2,0.013096957296508536
266,Gm29040,0.0020345589326773864
267,Nck2,0.0022646756082061654
268,1500015O10Rik,0.0019065369920305613
269,Gm29157,0.0019065369920305613
270,Gm29155,0.0019065369920305613
271,Gm29156,0.0019065369920305613
272,Uxs1,0.0013884187682512293
273,Tpp2,0.0023125956143813984
274,Mettl21c,0.0028555023827342603
275,Gm8251,0.0017987965158826008
276,Tex30,0.0018347497606851376
277,Kdelc1,0.0018347497606851376
278,Bivm,0.0018347497606851376
279,Ercc5,0.0016134412882901155
280,Mettl21e,0.00025861609738034655
281,Gulp1,0.00044913591425578374
282,4930521E06Rik,0.0
283,Col3a1,9.302731817344186e-05
284,Col5a2,0.00019910305842085415
285,Wdr75,0.0020033424033885907
286,Gm5269,0.0019965013751514957
287,Slc40a1,0.0007668193939790223
288,Dnah7b,0.00023768010098311894
289,Dnah7c,0.0
290,Slc39a10,0.0014028374106029185
291,Gm28151,0.0014028374106029185
292,Gm28826,0.0
